幼学琼林全鉴（珍藏版）, 著
晏子春秋全鉴（珍藏版）, 著
仓央嘉措情歌集,[清] 
国学之树：重新发现古中国人的思维智慧, 著
相忘于江湖：庄子与战国时代, 著
纳兰词集,[清] 
后汉书全鉴（珍藏版）, 著
中文经典100句：淮南子, 著
中文经典100句：韩非子, 著
孙子兵法与三十六计（全集8册）,暂缺作者
聊斋志异（套装全4册）,[清] 
传世经典国学集：论语全解+孟子+大学·中庸+诗经（4册）, 著
曾国藩家书,[清] 
国学知识全鉴（珍藏版）, 著
论语本意, 著
随园诗话全鉴（珍藏版）, 著
喻世明言全鉴（珍藏版）, 著
一分钟国学常识,，
声律启蒙：清新美绘收藏版,[清] 
笠翁对韵：名家插图珍藏版,[清]李渔 著
花间集（全注释唯美珍藏版）,〔唐〕温庭筠 等，〔宋〕赵佶 等插图，后蜀…
苏轼诗词全鉴（珍藏版）, 著
弟子规全鉴（珍藏版）, 著
弟子规（有声版）, 编
三字经（有声版）, 编
笔墨清朝：大清才子图鉴, 著
父子宰相家训：聪训斋语、澄怀园语,，
国学之智 开释人生, 著
国学茶座（总第24期）, 编
笑林广记全鉴（珍藏版）, 著
围炉夜话全鉴,[清] 
老子十二讲, 著
季风讲四库全书里的传统文化, 著
夜航船全鉴（珍藏版）, 著
徐霞客游记全鉴（珍藏版）, 著
幽梦影全鉴（珍藏版）,[清] 
文心雕龙全鉴（珍藏版）, 著
颜氏家训全鉴（珍藏版）,[南北朝] 
社会变迁中的刑法发展,暂缺作者
英国版权法,张大伟
格言联璧全鉴（珍藏版）,[清] 
六韬 三略全鉴（珍藏版）, 著
世界版权条约,张大伟
《中华民国临时约法》的新理想与旧思维,沈桥林
挂靠的代价,廖志敏
司法行政典型案例评析,陈凯，李春燕，叶建丰 编
刑法及司法解释新编（含请示答复及指导案例 2019年最新版）,中国法制出版社
北京仲裁（第107辑）,北京仲裁委员会，北京国际仲裁中心
法学教育研究（第二十四卷 2019）,杨宗科
天下 博观 古代法,（英）亨利·梅因
价格宏观调控法律制度研究,田杨
民商事再审典型案例及审判经验,郑学林
公司法司法解释及司法观点全编,辑中心
诉讼时效审判实务与疑难问题解析：以《民法总则》诉讼时效制度及司法解释为核心,张雪楳
解读最高人民法院司法解释 民事卷（含指导性案例）,人民法院出版社
解读最高人民法院司法解释 商事卷（含指导性案例）,人民法院出版社
法官视野中的案例研究：能力建设与方法探索,黄文俊
解读最高人民法院司法指导性文件  刑事卷,人民法院出版社
解读最高人民法院司法指导性文件   综合卷,人民法院出版社
中国法院2019年度案例系列（全23册）,国家法官学院案例开发研究中心
民事诉讼时效司法解释及司法观点全编,辑中心
劳动纠纷疑难解答与自助维权指南,杨建功，李军，范培红
民法及司法解释新编（含请示答复及指导案例 2019年最新版）,中国法制出版社
欧盟的危机：关于欧洲宪法的思考,（德）尤尔根·哈贝马斯
走向理由之治：行政说明理由制度之透视,苏宇
倾诉与呼唤：毒品滥用元叙事,莫关耀，杜敏菊，李万成
改革中的检察制度研究,王梓，张承思，郑莉
南开国际法经济法和民商法论集：祝贺高尔森教授九十寿辰专辑,暂缺作者
公诉案件办案思路指引,韦兴顺
2018中国林业知识产权年度报告,国家林业和草原局科技发展中心，知识产权研…
麻醉纠纷案例的司法判决及医学思考,暂缺作者
海洋法学研究（第4辑）,薛桂芳 编
中国法院2019年度案例 知识产权纠纷,国家法官学院案例开发研究中心
中国法院2019年度案例 执行案例,国家法官学院案例开发研究中心
中国法院2019年度案例 买卖合同纠纷,国家法官学院案例开发研究中心
法治安徽建设年度报告（2017）,暂缺作者
立法前沿（第二辑）,朱新力
刑法办案法律规范适用指引,徐建伟
刑法全厚细（第五版）,冯江
改革开放40年法律制度变迁：刑事诉讼法卷,卞建林
人工智能技术进步劳动就业的影响研究,沈红兵
高校问卷调查研究方法与实践,唐美玲，王雁，王明晖
就业蓝皮书：2019年中国高职高专生就业报告,暂缺作者
新时代高校媒体创新发展研究,郑淑花
凯撒大帝：征服高卢罗马内战与帝制时代奠基（全景插图版）,（美）雅各布·阿伯特
2019中国渔业统计年鉴,农业农村部渔业渔政管理局，全国水产技术推…
当代大学生社会责任感培育实证性研究,刘峰
地方政府土地供应结构偏向行为及其对城市增长的影响研究,施建刚，徐奇升
当代阿拉伯研究：阿拉伯语语言文学学科发展与课程建设专辑2,刘欣路
阅天下：新历史方位下的中国,人民日报海外版总编室
当代中国社会问题分析,王德新
广东发展蓝皮书2019,广东省人民政府发展研究中心
汉语国际教育视野下的现代汉语形容词饰词功能研究,曲抒浩
汉语工具动量词的共时、历时及认知研究,过国娇
穿透灵魂：深阅读与智能出版传播研究,李祖平
中国类型电视剧的发生研究,张永峰
家院互融：机构养老向社区居家延伸模式的研究（以宁波市为例）,朱晓卓
食品安全保障实务研究,刘少伟
时代变迁中的青年择偶与婚育,贾志科
当我遇见一个人：维吉尼亚-萨提亚演讲集（第二版）,（加拿大）约翰·贝曼
农村优秀教师职业生涯与成长模式：基于质性资料的收集与分析,林李楠，吴佳莉
企业博物馆2.0：从理论走向实践,王波
大众创业万众创新实践与探索：以青海为例,孙发平，张立群
留英芳华,金玉献
创新创业教育与创意素描课程教学的融合探索,沈名杰
格局：修身修志大格局、做人做事高眼界,王长江
美国公共外交史论,胡腾蛟
近代蒙古文献大系见闻卷（全5册）,李红权，朱宪
十八世纪中朝文人交流研究（全2册）,徐毅
容庚北平日记（精装）,容庚 著，夏和顺 整理
国家与市场（精装）,黄国信
吴越春秋辑校汇考,汇考
世界通史（精）,暂缺作者
金塔寺石窟,郑炳林
文殊山石窟,郑炳林
西方翻译理论通史（第2版）,刘军平
信访与社会矛盾问题研究（2019年第2辑理论版）,暂缺作者
我国短视频新闻的发展与传播研究,杨嘉嵋
2017热点问题研究与分析：安徽调查队系统优秀课题分析汇编,暂缺作者
内蒙古服务质量调查研究报告（2018）,暂缺作者
道德与市场：美国人寿保险的发展,（美）维维安娜·泽利泽
中国新闻奖评选报告（第27届）,中华全国新闻工作者协会
新闻传播新探：移动时代的新闻理论与实践,谢金文
新闻发布会集（2017年度）,国务院台湾事务办公室
智慧科技与情报服务,谢威
电信传播总纲,曾静平，王丽萍，寿文华
中韩学术期刊评价比较研究,张美红
人性中的善良天使,（美）斯蒂芬·平克
EXCEL统计实验,樊玲
读有所得（99）,暂缺作者
原道（第36辑）,暂缺作者
基于区块链的物联网项目开发,（巴西）马克西米利亚诺·桑托斯
2019厚大法考司法考试国家法律职业资格考试法考应试特训集,厚大图书研发中心
2019厚大法考司法考试国家法律职业资格考试 杨烁讲民法,杨烁
2019厚大法考司法考试国家法律职业资格考试 段庆喜讲三国法,段庆喜
2019厚大法考司法考试国家法律职业资格考试 王小龙讲商经法,王小龙
2019全国会计专业技术资格考试大纲配套教材：经济法（中级会计资格）,暂缺作者
2019全国会计专业技术资格考试大纲配套教材：财务管理（中级会计资格）,暂缺作者
2019全国会计专业技术资格考试大纲配套教材：中级会计实务（中级会计资格）,暂缺作者
四年真题精解,任汝芬
2019年 高顿财经注册税务师考试 做题有套路 税法Ⅰ,高顿财经研究院
2019教材 高顿财经税务师考试 做题有套路 涉税服务相关法律,高顿财经研究院
2019年 高顿财经注册税务师考试 做题有套路 税法Ⅱ,高顿财经研究院
同一与他者：里尔克与卡夫卡之争的哲学阐释,唐妙琴
元末明初婺学三家思想特色及影响,顾旭明
《古文观止》导读,张忠曼
哈佛成功申请文50篇（第5版）,哈佛校报编委会
小猫迷你（精）,（奥）赫尔嘎·班石
老鼠冤家（精）,（奥）赫尔嘎·班石
找妈妈（精）,英娃
蓝色蜜蜂（精）,英娃
名言警句,储竞
梦想咖啡馆创业秘笈,侯国全，林子晴
大学生就业过程中的偶然事件研究,吕翠
未来不慌张：摆脱固化思维，获得先人一步的竞争力,忘机
创业管理基础教程,暂缺作者
意识大百科,（美）帕特里夏·丹尼尔斯
创新与创业管理（第19辑）,陈劲，高建
高校创新创业人才培养模式研究,潘斌
岭东日报潮嘉新闻梅州客家侨乡史料选编（上下）,暂缺作者
清代徽州祭祖研究,何巧云
清代职官年表（全4册）,钱实甫
近代中西医的博弈：中医抗菌史,皮国立
中国史纲,张荫麟
华文全球史018 拜占庭帝国史（精装）,（英）查尔斯·欧曼
华文全球史016 美国内战史：1861—1865（精装）,（美）詹姆斯·福特·罗德斯
华文全球史017 阿育王：一部孔雀王国史（精装）,（英）文森特·亚瑟·史密斯
简明大历史,（美）大卫·克里斯蒂安
19世纪大转型,（德）贡德·弗兰克
洪山宝通寺志长春观志（精）,（清）天正
唐人街：毛岛往事,（法）帕斯卡尔·修
甘蔗收割者：圭亚那契约华工史,特里夫·苏阿冠
澳新军团中的华裔军人：1885-1919,（澳）康爱德
古城辰阳,暂缺作者
杭州色调：第6季四大调,祁达
读有所得（100）,中共湖南省委宣传部指导 《读有所得》编辑…
中国女性的20世纪：近现代父权制研究,（日）白水纪子
新媒体与社会发展,方伟
多国手语入门,卢苇
标点符号用法90题（大字版）,刘一玲
让数据说话：辅导员工作调研方法研究,暂缺作者
知识经济时代下企业人力资源管理,吴玥
新时代怎样做好发展党员工作,张晨裴浩
绝知此事要躬行：新时代大学生主题调研报告,陈松
群体制裁对经销商窜货意愿的抑制作用研究：基于社会网络的视角,马斌
